Node_id,prediction,DC,BC,CC,EC,CEN,ECC,RAD,Conectivity_Score
CPX-8666,Down,0.36349206349206353,0.05409675383293759,0.5610886637114416,0.34909383555198775,0.43372724369211113,1,0.672903672903673,0.5601841376114379
CPX-8682,Down,0.38888888888888895,0.04240195927906826,0.5710193065422491,0.36408815301133135,0.42190993292877665,1,0.6817394317394321,0.5944389774553992
CPX-8686,Down,0.361904761904762,0.0339905218514859,0.5767061840453085,0.35937747435491096,0.4040242733950814,1,0.6867636867636868,0.5747691812918897
CPX-8693,Down,0.3317460317460318,0.0169100681139671,0.535605646131962,0.33908442177214637,0.46885978920472693,0,0.6498613998614,0.5294486750968691
CPX-1908,Down,0.1666666666666667,0.17387315243386914,0.5518232720686709,0.0358126222311832,0.461194506547429,1,0.6645876645876645,0.4955343847505894
CPX-5022,Down,0.13333333333333336,0.10260729045368831,0.501858388549036,0.059381318905141714,0.5534972852123923,1,0.6185031185031185,0.30955255990487673
CPX-5021,Down,0.2158730158730159,0.19772165138514528,0.5780832614978957,0.1650495860679474,0.4164803577131907,0,0.6879764379764377,0.4067929886366717
CPX-846,Down,1,0.5601052504174456,0.8774360787949114,0.9999999999999999,0.05812839348450971,1,0.9201316701316702,1
PBX1,Down,0.29841269841269846,0.11608624708976464,0.6279993710391825,0.29685601311588244,0.35100606834877035,1,0.7309424809424812,0.5017924394288126
NFIX,Down,0.046031746031746035,0.01119378568766189,0.4059451839456747,0.06658403516411819,0.7115937400191632,0,0.5237352737352738,0.47086333377640865
ARL3,Down,0.060317460317460325,0.028296036432543435,0.34752943765819255,0.02029699561350386,0.8268923666560206,0,0.4615384615384617,0.16194972687846143
CPX-3227,Down,0.2428571428571429,0.18810863259682345,0.5000243730348131,0.22174037817522999,0.5614819546470776,1,0.6167706167706166,0.523500658630477
CPX-2393,Down,0.3650793650793651,0.19950177622252618,0.6493967772803368,0.2908935096562091,0.31810923027786653,1,0.7487872487872482,0.2855698844975617
CPX-7482,Down,0.3682539682539683,0.20194792059485708,0.6498162551998847,0.2921450939346392,0.3174704567230917,1,0.7491337491337489,0.29010701507395265
TACO1,Down,0.07142857142857144,0.04020122275455437,0.35196541377838164,0.014303790162374612,0.755988502076014,0,0.4663894663894661,0.12948265858366947
CPX-2806,Down,0.1412698412698413,0.14070914187954678,0.43206887837760366,0.023062598466190187,0.6620887895241137,0,0.5504158004158004,0.2660885045929361
MEGF8,Down,0,0,0.13554752541474113,0.001236764911461055,0.9827531140210795,0,0.2014899514899513,0.15106180910501887
UGP2,Down,0.08412698412698413,0.11955454052625818,0.37590796079308797,0.014957187535950791,0.7844139252634941,0,0.4922037422037415,0.3513427060805131
ERAL1,Down,0.06666666666666668,0.016978614141229656,0.30181466305088,0.012838340899230678,0.935483870967742,0,0.41025641025641013,0.07252981896894517
CPX-6701,Down,0.09047619047619047,0.06555435299204436,0.4455563606176569,0.01858582184847996,0.6521877994251039,0,0.563929313929314,0.13042249589639088
CPX-7461,Down,0.19682539682539685,0.0451161205543242,0.4408678043226222,0.22109526387524228,0.6675183647396998,0,0.5592515592515594,0.5759211119825586
CAMTA1,Down,0.030158730158730166,0.00012370479292860194,0.2541254853025794,0.052197129738773315,0.8473331204088153,0,0.35412335412335416,0.3989002572035768
DENND1B,Down,0.017460317460317464,0.044009687953391184,0.2486852353166551,0.002838057249580649,0.9517725966145003,0,0.3475398475398479,0.29526126222548366
CPX-6199,Down,0.05238095238095239,0.07704132625379444,0.42130175142044557,0.020247778221618745,0.6266368572341106,0,0.5395010395010393,0.14102631180739567
RORB,Down,0.0380952380952381,0.011222862079805431,0.25613769085106664,0.021653144718065485,0.9543276908335994,0,0.3565488565488568,0.39917403359278436
CPX-6212,Down,0.030158730158730166,0.017481328575211938,0.19946643942524456,0.0032972013894320817,0.9495368891727882,0,0.286209286209286,0.11471745870934213
CPX-6213,Down,0.030158730158730166,0.017481328575211938,0.19946643942524456,0.0032972013894320817,0.9495368891727882,0,0.286209286209286,0.11471745870934213
CPX-4749,Down,0.04285714285714286,0.02770585320148438,0.3914759225888389,0.01303559129774073,0.6550622804215906,0,0.5086625086625087,0.2457024490094729
CPX-4750,Down,0.030158730158730166,0.019990402412084243,0.3747702746252539,0.011833122522208294,0.6710316192909613,0,0.49099099099099064,0.1936941717699866
CPX-6902,Down,0.03492063492063492,0.01768227227070456,0.3733094194812252,0.012430293877809964,0.6707122325135739,0,0.4894317394317391,0.2054668666799062
CPX-6903,Down,0.017460317460317464,0.004877983901637368,0.34044140637155595,0.011214744059565645,0.7214947301181731,0,0.4537422037422041,0.13896566459828807
CPX-8163,Down,0.0507936507936508,0.043300957853572755,0.2869903204726356,0.011713310259647532,0.9022676461194505,0,0.393104643104643,0.24778227807182995
TNPO2,Down,0.020634920634920638,0.01355626977894347,0.13908745787080878,0.0066660421682531255,0.9575215586074737,0,0.20634095634095662,0.25793058094238264
CPX-8164,Down,0.044444444444444446,0.03440701884065464,0.26815549444317055,0.009904570272713851,0.9281379750878314,0,0.3709286209286211,0.22221927217150028
LIAS,Down,0.025396825396825404,0.0008005655548129965,0.21986695623735386,0.003394238957824867,0.9128074097732355,0,0.3120235620235623,0
CLEC16A,Down,0.023809523809523815,0.0013777366586628893,0.1371893133087163,0.0036802329941159643,0.9479399552858512,0,0.20374220374220364,0.08413826555928638
SLC25A38,Down,0.025396825396825404,0.02258811047372142,0.11054326519182323,0.0014073293731752569,0.9766847652507187,0,0.16666666666666696,0.05721703668179323
RDH11,Down,0.030158730158730166,0.06395763718580211,0.2048990455364954,0.0024860838302310445,0.9645480677099969,0,0.2931392931392933,0.348742020648686
SIAE,Down,0,0.0000013466842935014569,0.12078261303667959,0.0007813518294092354,1,0,0.18104643104643126,0.13947007032408432
SPEF2,Down,0.011111111111111113,0.003885984379153485,0.07615425995659342,0.0016596060885900581,0.9073778345576495,0,0.11711711711711725,0.0467637549214619
CEP19,Down,0.009523809523809525,0.0005812294619716923,0,0,0.988502076014053,0,0,0.06510072562930758
