Node_id,DEG,DC,BC,CC,EC,CEN,ECC,RAD,Target_group_score_normalized,Conectivity_score_topo
PBX1,Down,0.1777362020579981,0.0334688737832806,0.7628548109186543,0.2883227763844523,0.5123281175912755,0.75,0.8761895743572748,0.1,0.844139411606742
ACOX2,Up,0.0748362956033676,0.040401195273197,0.7151844924332598,0.0378587085992953,0.6816026552868658,0.75,0.8413900856967,0.1,0.715531164821285
CPX-6245,Up,0.176800748362956,0.0738438084443767,0.7462739531582684,0.2115774441512237,0.5704125177809388,0.75,0.86458974480375,0.1,0.739850584707519
ALDH6A1,Up,0.0430308699719363,0.004172238137818,0.6649276737016837,0.0177867016256668,0.7880512091038406,0.6000000000000001,0.799299275602481,0.1,0.675511331661898
CPX-4742,Up,0.049579045837231,0.0070453345141974,0.6902437023057357,0.0241613375381486,0.7581792318634424,0.6000000000000001,0.8212679323895649,0.1,0.653205507348196
NFIX,Down,0.0289990645463049,0.0032274119211031,0.6882107502249857,0.0650728384907562,0.7799905168326221,0.6000000000000001,0.8195634676388429,0.1,0.819696799883747
LIFR,Up,0.0823199251637044,0.0161168896243249,0.745546397234778,0.1044582946712739,0.6806543385490754,0.75,0.8640689361299181,0.1,0.832870809000802
CPX-1949,Up,0.1038353601496726,0.0371764350933243,0.7200205426688351,0.1118198478791979,0.6669037458511142,0.6000000000000001,0.8451304388996733,0.1,0.845981462718238
ARL3,Down,0.0374181478016838,0.0081581481889467,0.6685741535526942,0.0201973013243437,0.8655761024182077,0.6000000000000001,0.8025661663746982,0.1,0.575568973033067
PLCD1,Up,0.0645463049579045,0.0430972791996122,0.6812439261418853,0.0648238432551932,0.8138928402086297,0.6000000000000001,0.8136451872543914,0.1,0.764059848003273
PRDM16,Up,0.1057062675397567,0.0213249889531251,0.6958391926544792,0.1984505500644174,0.7641062114746325,0.6000000000000001,0.8259078642109748,0.1,0.78543150349309
CPX-3227,Down,0.1449953227315248,0.0542335902883611,0.7198357008386104,0.2154977588355998,0.6685633001422475,0.75,0.8449884001704465,0.1,0.861294953674694
CPX-7121,Up,0.0608044901777362,0.0249240842772713,0.7150021249468764,0.0497075070327551,0.680891417733523,0.75,0.8412480469674731,0.1,0.733420189858482
MEGF10,Up,0.0467726847521047,0.001145761472309,0.6787155075036309,0.1481716754005869,0.8364153627311522,0.6000000000000001,0.8114672600729133,0.1,0.696980550456752
