GO_term,Term_Name_Clean,Ontology
GO:0071900,Regulation Of Protein Serine/Threonine Kinase Activity,Biological process
GO:0090114,COPII-coated Vesicle Budding,Biological process
GO:0006284,Base-Excision Repair,Biological process
GO:0036297,Interstrand Cross-Link Repair,Biological process
GO:0050777,Negative Regulation Of Immune Response,Biological process
GO:1905114,Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling,Biological process
GO:1902275,Regulation Of Chromatin Organization,Biological process
GO:0071357,Cellular Response To Type I Interferon,Biological process
GO:0001947,Heart Looping,Biological process
GO:0045663,Positive Regulation Of Myoblast Differentiation,Biological process
GO:0032204,Regulation Of Telomere Maintenance,Biological process
GO:0030001,Metal Ion Transport,Biological process
GO:0045860,Positive Regulation Of Protein Kinase Activity,Biological process
GO:0009416,Response To Light Stimulus,Biological process
GO:0016125,Sterol Metabolic Process,Biological process
GO:0043085,Positive Regulation Of Catalytic Activity,Biological process
GO:0001959,Regulation Of Cytokine-Mediated Signaling Pathway,Biological process
GO:0048568,Embryonic Organ Development,Biological process
GO:0030512,Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway,Biological process
GO:0030500,Regulation Of Bone Mineralization,Biological process
GO:0006310,DNA Recombination,Biological process
GO:1990573,Potassium Ion Import Across Plasma Membrane,Biological process
GO:1901215,Negative Regulation Of Neuron Death,Biological process
GO:0097352,Autophagosome Maturation,Biological process
GO:0032784,Regulation Of DNA-templated Transcription Elongation,Biological process
GO:0045661,Regulation Of Myoblast Differentiation,Biological process
GO:0006898,Receptor-Mediated Endocytosis,Biological process
GO:0032787,Monocarboxylic Acid Metabolic Process,Biological process
GO:0031347,Regulation Of Defense Response,Biological process
GO:0048738,Cardiac Muscle Tissue Development,Biological process
GO:0031297,Replication Fork Processing,Biological process
GO:0042542,Response To Hydrogen Peroxide,Biological process
GO:1902476,Chloride Transmembrane Transport,Biological process
GO:0050852,T Cell Receptor Signaling Pathway,Biological process
GO:0010634,Positive Regulation Of Epithelial Cell Migration,Biological process
GO:0031331,Positive Regulation Of Cellular Catabolic Process,Biological process
GO:1905515,Non-Motile Cilium Assembly,Biological process
GO:0030163,Protein Catabolic Process,Biological process
GO:0035725,Sodium Ion Transmembrane Transport,Biological process
GO:0006874,Intracellular Calcium Ion Homeostasis,Biological process
GO:0051099,Positive Regulation Of Binding,Biological process
GO:0050778,Positive Regulation Of Immune Response,Biological process
GO:0071482,Cellular Response To Light Stimulus,Biological process
GO:0006417,Regulation Of Translation,Biological process
GO:0038083,Peptidyl-Tyrosine Autophosphorylation,Biological process
GO:0031281,Positive Regulation Of Cyclase Activity,Biological process
GO:0010453,Regulation Of Cell Fate Commitment,Biological process
GO:0006744,Ubiquinone Biosynthetic Process,Biological process
GO:0033628,Regulation Of Cell Adhesion Mediated By Integrin,Biological process
GO:0062197,Cellular Response To Chemical Stress,Biological process
GO:0001933,Negative Regulation Of Protein Phosphorylation,Biological process
GO:0055117,Regulation Of Cardiac Muscle Contraction,Biological process
GO:0006123,"Mitochondrial Electron Transport, Cytochrome C To Oxygen",Biological process
GO:0060382,Regulation Of DNA Strand Elongation,Biological process
GO:0003007,Heart Morphogenesis,Biological process
GO:0098703,Calcium Ion Import Across Plasma Membrane,Biological process
GO:1904705,Regulation Of Vascular Associated Smooth Muscle Cell Proliferation,Biological process
GO:0150104,Transport Across Blood-Brain Barrier,Biological process
GO:0051568,Histone H3-K4 Methylation,Biological process
GO:0097306,Cellular Response To Alcohol,Biological process
GO:0006839,Mitochondrial Transport,Biological process
GO:0009895,Negative Regulation Of Catabolic Process,Biological process
GO:0019932,Second-Messenger-Mediated Signaling,Biological process
GO:0045778,Positive Regulation Of Ossification,Biological process
GO:1902600,Proton Transmembrane Transport,Biological process
GO:0010232,Vascular Transport,Biological process
GO:0045732,Positive Regulation Of Protein Catabolic Process,Biological process
GO:0006901,Vesicle Coating,Biological process
GO:0009896,Positive Regulation Of Catabolic Process,Biological process
GO:0050851,Antigen Receptor-Mediated Signaling Pathway,Biological process
GO:0032481,Positive Regulation Of Type I Interferon Production,Biological process
GO:0050776,Regulation Of Immune Response,Biological process
GO:0048844,Artery Morphogenesis,Biological process
GO:0000245,Spliceosomal Complex Assembly,Biological process
GO:0050728,Negative Regulation Of Inflammatory Response,Biological process
GO:0030155,Regulation Of Cell Adhesion,Biological process
GO:0034968,Histone Lysine Methylation,Biological process
GO:0044743,Protein Transmembrane Import Into Intracellular Organelle,Biological process
GO:0043281,Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,Biological process
GO:0051262,Protein Tetramerization,Biological process
GO:0031468,Nuclear Membrane Reassembly,Biological process
GO:0043525,Positive Regulation Of Neuron Apoptotic Process,Biological process
GO:0032434,Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process,Biological process
GO:0050679,Positive Regulation Of Epithelial Cell Proliferation,Biological process
GO:1903232,Melanosome Assembly,Biological process
GO:0033139,Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein,Biological process
GO:0090311,Regulation Of Protein Deacetylation,Biological process
GO:0043535,Regulation Of Blood Vessel Endothelial Cell Migration,Biological process
GO:0030198,Extracellular Matrix Organization,Biological process
GO:0050870,Positive Regulation Of T Cell Activation,Biological process
GO:0051248,Negative Regulation Of Protein Metabolic Process,Biological process
