proteina,GO_term,Term_Name_Clean
CPX-7587,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7588,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7589,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7590,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7591,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7592,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
GATA3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
HELLS,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1072,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-134,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CD4,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MMP2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
KIT,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
SHH,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ZEB1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ALK,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6094,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1063,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
TRIP12,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CBL,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ERBB3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
TNFRSF10B,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6142,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MBTPS1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
FOXP3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CD274,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
TFRC,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PLK1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CDCA7,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
AURKB,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
LMO2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2283,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2285,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2286,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2288,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2289,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2290,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7581,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7582,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7583,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7584,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7585,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7586,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
RET,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
FGFR3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CDK6,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-155,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-175,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7728,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
HMGA1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CHD8,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
SOX9,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-54,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
NF1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ROCK1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
DYRK2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1921,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MAP3K1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
GATA4,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2530,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
RHOA,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PGR,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
SNAI2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
TBX21,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
TWIST1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CD40,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6741,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6743,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
KLF6,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-509,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6469,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6525,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6586,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7006,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7065,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7095,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-71,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-256,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MUC1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PAX6,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CTLA4,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CSF1R,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
FLT3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
AXL,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-833,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
IRF4,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PTPRC,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
JAK3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
BCL6,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5635,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
BIRC3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
HNRNPK,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
